Transfection Efficacy,Ion/Helper Percent,N/P Ratio,Ion/Helper Ratio,Chol/PEG Ratio
63,80,12,100,100
1,80,12,50,100
82,80,12,10,100
294.5,80,12,1,100
146,80,12,200,10
80,80,12,100,10
91.5,80,12,50,10
146,80,12,10,10
21.5,80,12,1,10
12,20,4,200,500
3.5,20,4,100,500
11,20,4,50,500
15.5,20,4,10,500
39.5,20,4,1,500
3.5,20,4,200,100
3.5,20,4,100,100
3,20,4,50,100
9,20,4,10,100
335.5,20,4,1,100
3,20,4,200,10
2.5,20,4,100,10
3.5,20,4,50,10
2,20,4,10,10
2,20,4,1,10
6,20,8,200,500
11,20,8,100,500
10.5,20,8,50,500
4,20,8,10,500
17.5,20,8,1,500
3.5,20,8,200,100
3,20,8,100,100
2.5,20,8,50,100
8,20,8,10,100
27,20,8,1,100
2.5,20,8,200,10
1,20,8,100,10
2.5,20,8,50,10
2,20,8,10,10
3.5,20,8,1,10
5,20,12,200,500
5,20,12,100,500
2.5,20,12,50,500
3.5,20,12,10,500
9,20,12,1,500
2.5,20,12,200,100
3.5,20,12,100,100
4,20,12,50,100
9.5,20,12,10,100
74.5,20,12,1,100
1.5,20,12,200,10
2,20,12,100,10
2.5,20,12,50,10
1.5,20,12,10,10
2,20,12,1,10
3,40,4,200,500
3,40,4,100,500
2.5,40,4,50,500
3.5,40,4,10,500
3.5,40,4,1,500
3,40,4,200,100
2,40,4,100,100
7.5,40,4,50,100
7,40,4,10,100
415.5,40,4,1,100
2.5,40,4,200,10
4,40,4,100,10
1.5,40,4,50,10
3,40,4,10,10
8.5,40,4,1,10
3.5,40,8,200,500
2.5,40,8,100,500
2.5,40,8,50,500
3,40,8,10,500
36,40,8,1,500
2,40,8,200,100
4,40,8,100,100
5,40,8,50,100
6.5,40,8,10,100
585.5,40,8,1,100
2,40,8,200,10
2,40,8,100,10
2.5,40,8,50,10
2.5,40,8,10,10
11,40,8,1,10
4,40,12,200,500
3,40,12,100,500
1.5,40,12,50,500
2.5,40,12,10,500
30,40,12,1,500
4.5,40,12,200,100
3,40,12,100,100
74,40,12,50,100
20.5,40,12,10,100
638,40,12,1,100
4,40,12,200,10
1,40,12,100,10
3,40,12,50,10
2.5,40,12,10,10
63.5,40,12,1,10
3,60,4,200,500
2.5,60,4,100,500
1.5,60,4,50,500
2,60,4,10,500
65,60,4,1,500
2,60,4,200,100
2.5,60,4,100,100
11,60,4,50,100
6,60,4,10,100
406,60,4,1,100
3,60,4,200,10
1.5,60,4,100,10
2,60,4,50,10
2,60,4,10,10
38.5,60,4,1,10
4,60,8,200,500
3,60,8,100,500
1.5,60,8,50,500
1.5,60,8,10,500
64,60,8,1,500
1.5,60,8,200,100
3,60,8,100,100
3,60,8,50,100
5.5,60,8,10,100
690.5,60,8,1,100
2.5,60,8,200,10
3,60,8,100,10
3.5,60,8,50,10
2.5,60,8,10,10
48,60,8,1,10
4.5,60,12,200,500
3.5,60,12,100,500
3.5,60,12,50,500
5,60,12,10,500
332.5,60,12,1,500
6,60,12,200,100
4.5,60,12,100,100
6.5,60,12,50,100
78.5,60,12,10,100
2071,60,12,1,100
4,60,12,200,10
4.5,60,12,100,10
1.5,60,12,50,10
3.5,60,12,10,10
66.5,60,12,1,10
3.5,80,4,200,500
2.5,80,4,100,500
2,80,4,50,500
4.5,80,4,10,500
503.5,80,4,1,500
2,80,4,200,100
1.5,80,4,100,100
6.5,80,4,50,100
18,80,4,10,100
2540.5,80,4,1,100
6.5,80,4,200,10
3.5,80,4,100,10
3.5,80,4,50,10
4,80,4,10,10
265.5,80,4,1,10
2.5,80,8,200,500
2,80,8,100,500
1.5,80,8,50,500
3.5,80,8,10,500
819,80,8,1,500
1.5,80,8,200,100
1.5,80,8,100,100
7,80,8,50,100
34,80,8,10,100
3766,80,8,1,100
3,80,8,200,10
4,80,8,100,10
4,80,8,50,10
14,80,8,10,10
284,80,8,1,10
3.5,80,12,200,500
2,80,12,100,500
78,80,12,50,500
49.5,80,12,10,500
616.5,80,12,1,500
186,80,12,200,100
54,80,12,100,100
88.5,80,12,50,100
345,80,12,10,100
3719.5,80,12,1,100
36.5,80,12,200,10
8,80,12,100,10
16.5,80,12,50,10
149,80,12,10,10
369,80,12,1,10
6,20,4,200,500
3,20,4,100,500
2,20,4,50,500
16,20,4,10,500
2,20,4,1,500
10,20,4,200,100
8,20,4,100,100
4,20,4,50,100
27.5,20,4,10,100
6,20,4,1,100
2.5,20,4,200,10
2.5,20,4,100,10
1.5,20,4,50,10
2,20,4,10,10
3,20,4,1,10
6,20,8,200,500
2,20,8,100,500
3,20,8,50,500
3,20,8,10,500
3,20,8,1,500
7,20,8,200,100
5,20,8,100,100
2,20,8,50,100
16,20,8,10,100
3.5,20,8,1,100
3.5,20,8,200,10
2.5,20,8,100,10
1.5,20,8,50,10
2,20,8,10,10
2,20,8,1,10
4,20,12,200,500
4,20,12,100,500
5,20,12,50,500
6,20,12,10,500
3,20,12,1,500
4,20,12,200,100
1,20,12,100,100
2,20,12,50,100
8,20,12,10,100
2,20,12,1,100
1.5,20,12,200,10
2.5,20,12,100,10
2.5,20,12,50,10
1.5,20,12,10,10
3,20,12,1,10
4,40,4,200,500
1,40,4,100,500
3,40,4,50,500
19,40,4,10,500
2,40,4,1,500
8,40,4,200,100
9,40,4,100,100
17,40,4,50,100
257,40,4,10,100
12,40,4,1,100
2.5,40,4,200,10
4.5,40,4,100,10
3,40,4,50,10
4,40,4,10,10
3,40,4,1,10
5,40,8,200,500
1,40,8,100,500
6,40,8,50,500
9,40,8,10,500
12,40,8,1,500
4,40,8,200,100
4,40,8,100,100
1,40,8,50,100
98,40,8,10,100
44,40,8,1,100
1.5,40,8,200,10
1.5,40,8,100,10
2,40,8,50,10
2,40,8,10,10
1.5,40,8,1,10
3,40,12,200,500
4,40,12,100,500
4,40,12,50,500
7,40,12,10,500
15,40,12,1,500
1,40,12,200,100
9,40,12,100,100
2,40,12,50,100
68,40,12,10,100
170.5,40,12,1,100
2.5,40,12,200,10
2,40,12,100,10
2.5,40,12,50,10
2,40,12,10,10
2.5,40,12,1,10
3,60,4,200,500
2,60,4,100,500
1,60,4,50,500
16,60,4,10,500
2,60,4,1,500
3,60,4,200,100
2,60,4,100,100
8,60,4,50,100
355.5,60,4,10,100
2.5,60,4,1,100
2,60,4,200,10
2.5,60,4,100,10
2.5,60,4,50,10
4,60,4,10,10
1.5,60,4,1,10
4,60,8,200,500
5,60,8,100,500
2,60,8,50,500
6,60,8,10,500
1,60,8,1,500
3,60,8,200,100
5,60,8,100,100
10,60,8,50,100
39.5,60,8,10,100
4,60,8,1,100
2,60,8,200,10
5,60,8,100,10
7.5,60,8,50,10
7.5,60,8,10,10
1.5,60,8,1,10
4,60,12,200,500
3,60,12,100,500
3,60,12,50,500
7,60,12,10,500
2,60,12,1,500
5,60,12,200,100
4,60,12,100,100
7,60,12,50,100
115,60,12,10,100
4,60,12,1,100
3,60,12,200,10
4,60,12,100,10
6.5,60,12,50,10
4.5,60,12,10,10
1,60,12,1,10
3,80,4,200,500
7,80,4,100,500
2,80,4,50,500
22,80,4,10,500
3,80,4,1,500
1,80,4,200,100
3,80,4,100,100
5,80,4,50,100
78,80,4,10,100
2,80,4,1,100
2.5,80,4,200,10
2,80,4,100,10
3,80,4,50,10
9,80,4,10,10
3,80,4,1,10
2,80,8,200,500
3,80,8,100,500
3,80,8,50,500
9,80,8,10,500
5,80,8,1,500
2,80,8,200,100
1,80,8,100,100
1,80,8,50,100
31.5,80,8,10,100
4.5,80,8,1,100
4.5,80,8,200,10
4,80,8,100,10
3.5,80,8,50,10
4.5,80,8,10,10
3,80,8,1,10
5,80,12,200,500
3,80,12,100,500
3,80,12,50,500
46,80,12,10,500
3,80,12,1,500
3,80,12,200,100
2,80,12,100,100
2,80,12,50,100
4,80,12,10,100
4.5,80,12,1,100
2,80,12,200,10
2.5,80,12,100,10
1.5,80,12,50,10
3.5,80,12,10,10
2.5,80,12,1,10
9.5,20,4,200,500
3,20,4,100,500
4,20,4,50,500
2,20,4,10,500
4.5,20,4,1,500
2.5,20,4,200,100
3,20,4,100,100
2.5,20,4,50,100
6.5,20,4,10,100
4,20,4,1,100
2.5,20,4,200,10
2.5,20,4,100,10
2,20,4,50,10
4,20,4,10,10
2,20,4,1,10
4.5,20,8,200,500
3.5,20,8,100,500
3.5,20,8,50,500
5,20,8,10,500
4,20,8,1,500
2.5,20,8,200,100
2.5,20,8,100,100
1,20,8,50,100
5.5,20,8,10,100
2,20,8,1,100
2.5,20,8,200,10
2,20,8,100,10
2.5,20,8,50,10
2.5,20,8,10,10
2,20,8,1,10
5,20,12,200,500
3,20,12,100,500
3.5,20,12,50,500
2,20,12,10,500
4,20,12,1,500
3,20,12,200,100
2.5,20,12,100,100
3,20,12,50,100
6.5,20,12,10,100
3.5,20,12,1,100
2.5,20,12,200,10
2.5,20,12,100,10
2.5,20,12,50,10
2.5,20,12,10,10
2,20,12,1,10
2.5,40,4,200,500
2.5,40,4,100,500
3.5,40,4,50,500
2,40,4,10,500
6,40,4,1,500
3,40,4,200,100
2,40,4,100,100
2.5,40,4,50,100
5,40,4,10,100
12.5,40,4,1,100
4,40,4,200,10
2.5,40,4,100,10
2,40,4,50,10
3.5,40,4,10,10
2,40,4,1,10
4,40,8,200,500
2.5,40,8,100,500
2.5,40,8,50,500
6,40,8,10,500
2.5,40,8,1,500
3.5,40,8,200,100
3,40,8,100,100
3.5,40,8,50,100
4.5,40,8,10,100
4,40,8,1,100
2.5,40,8,200,10
2,40,8,100,10
2,40,8,50,10
2,40,8,10,10
2.5,40,8,1,10
7,40,12,200,500
3.5,40,12,100,500
3,40,12,50,500
3.5,40,12,10,500
3,40,12,1,500
3.5,40,12,200,100
1.5,40,12,100,100
3,40,12,50,100
6.5,40,12,10,100
3.5,40,12,1,100
2.5,40,12,200,10
3.5,40,12,100,10
2.5,40,12,50,10
2,40,12,10,10
1.5,40,12,1,10
3.5,60,4,200,500
2.5,60,4,100,500
3.5,60,4,50,500
3.5,60,4,10,500
7.5,60,4,1,500
2,60,4,200,100
3,60,4,100,100
2.5,60,4,50,100
21.5,60,4,10,100
17,60,4,1,100
2.5,60,4,200,10
2.5,60,4,100,10
2,60,4,50,10
2.5,60,4,10,10
2,60,4,1,10
5.5,60,8,200,500
5,60,8,100,500
2,60,8,50,500
4,60,8,10,500
5.5,60,8,1,500
4,60,8,200,100
2.5,60,8,100,100
2.5,60,8,50,100
6,60,8,10,100
7,60,8,1,100
3,60,8,200,10
2,60,8,100,10
2,60,8,50,10
3,60,8,10,10
2,60,8,1,10
6.5,60,12,200,500
2.5,60,12,100,500
4,60,12,50,500
3,60,12,10,500
1.5,60,12,1,500
3.5,60,12,200,100
3,60,12,100,100
6,60,12,50,100
3,60,12,10,100
3.5,60,12,1,100
2,60,12,200,10
2.5,60,12,100,10
2.5,60,12,50,10
4.5,60,12,10,10
2.5,60,12,1,10
3.5,80,4,200,500
4,80,4,100,500
1.5,80,4,50,500
7.5,80,4,10,500
1.5,80,4,1,500
3.5,80,4,200,100
2.5,80,4,100,100
3,80,4,50,100
9,80,4,10,100
10,80,4,1,100
2.5,80,4,200,10
2,80,4,100,10
3,80,4,50,10
2,80,4,10,10
4,80,4,1,10
3.5,80,8,200,500
3,80,8,100,500
5.5,80,8,50,500
18,80,8,10,500
6,80,8,1,500
3.5,80,8,200,100
3,80,8,100,100
5.5,80,8,50,100
6.5,80,8,10,100
5,80,8,1,100
3.5,80,8,200,10
3,80,8,100,10
1.5,80,8,50,10
2.5,80,8,10,10
2,80,8,1,10
3.5,80,12,200,500
3,80,12,100,500
4.5,80,12,50,500
17.5,80,12,10,500
37,80,12,1,500
5.5,80,12,200,100
1,80,12,100,100
6.5,80,12,50,100
4.5,80,12,10,100
8,80,12,1,100
3.5,80,12,200,10
4,80,12,100,10
2.5,80,12,50,10
18,80,12,10,10
2,80,12,1,10
10,20,4,200,500
5.5,20,4,100,500
3.5,20,4,50,500
3,20,4,10,500
3.5,20,4,1,500
8.5,20,4,200,100
7,20,4,100,100
5.5,20,4,50,100
10.5,20,4,10,100
5.5,20,4,1,100
4,20,4,200,10
4.5,20,4,100,10
3.5,20,4,50,10
5.5,20,4,10,10
3.5,20,4,1,10
5,20,8,200,500
9.5,20,8,100,500
6,20,8,50,500
17,20,8,10,500
3,20,8,1,500
5,20,8,200,100
5.5,20,8,100,100
7,20,8,50,100
6,20,8,10,100
2.5,20,8,1,100
2.5,20,8,200,10
3.5,20,8,100,10
2.5,20,8,50,10
6,20,8,10,10
3,20,8,1,10
7.5,20,12,200,500
3.5,20,12,100,500
14.5,20,12,50,500
24.5,20,12,10,500
4.5,20,12,1,500
10,20,12,200,100
7,20,12,100,100
3.5,20,12,50,100
7.5,20,12,10,100
4,20,12,1,100
2.5,20,12,200,10
3,20,12,100,10
4,20,12,50,10
4,20,12,10,10
4,20,12,1,10
13,40,4,200,500
9.5,40,4,100,500
22,40,4,50,500
16,40,4,10,500
17.5,40,4,1,500
22,40,4,200,100
19.5,40,4,100,100
7,40,4,50,100
10.5,40,4,10,100
6,40,4,1,100
4.5,40,4,200,10
3,40,4,100,10
4,40,4,50,10
3.5,40,4,10,10
5,40,4,1,10
16.5,40,8,200,500
10.5,40,8,100,500
6.5,40,8,50,500
10.5,40,8,10,500
2.5,40,8,1,500
69,40,8,200,100
22.5,40,8,100,100
5.5,40,8,50,100
9.5,40,8,10,100
4,40,8,1,100
14.5,40,8,200,10
4,40,8,100,10
4,40,8,50,10
2.5,40,8,10,10
4,40,8,1,10
6.5,40,12,200,500
8,40,12,100,500
9.5,40,12,50,500
14.5,40,12,10,500
4,40,12,1,500
23,40,12,200,100
22.5,40,12,100,100
5.5,40,12,50,100
44,40,12,10,100
3.5,40,12,1,100
8.5,40,12,200,10
3,40,12,100,10
4,40,12,50,10
4.5,40,12,10,10
3,40,12,1,10
14,60,4,200,500
7,60,4,100,500
7,60,4,50,500
5.5,60,4,10,500
2.5,60,4,1,500
64.5,60,4,200,100
15,60,4,100,100
33.5,60,4,50,100
11.5,60,4,10,100
160,60,4,1,100
3,60,4,200,10
3.5,60,4,100,10
3,60,4,50,10
4,60,4,10,10
3.5,60,4,1,10
18,60,8,200,500
6.5,60,8,100,500
9.5,60,8,50,500
46.5,60,8,10,500
3,60,8,1,500
27.5,60,8,200,100
14,60,8,100,100
11,60,8,50,100
10,60,8,10,100
4,60,8,1,100
9,60,8,200,10
6.5,60,8,100,10
11,60,8,50,10
11,60,8,10,10
6.5,60,8,1,10
9,60,12,200,500
9.5,60,12,100,500
36,60,12,50,500
34,60,12,10,500
3.5,60,12,1,500
35.5,60,12,200,100
31.5,60,12,100,100
8,60,12,50,100
23,60,12,10,100
4.5,60,12,1,100
7.5,60,12,200,10
14,60,12,100,10
10,60,12,50,10
6,60,12,10,10
3,60,12,1,10
3.5,80,4,200,500
8.5,80,4,100,500
37,80,4,50,500
7.5,80,4,10,500
4,80,4,1,500
6.5,80,4,200,100
5,80,4,100,100
34.5,80,4,50,100
4.5,80,4,10,100
4.5,80,4,1,100
3,80,4,200,10
6,80,4,100,10
4.5,80,4,50,10
6,80,4,10,10
5,80,4,1,10
6,80,8,200,500
4.5,80,8,100,500
16.5,80,8,50,500
26,80,8,10,500
1,80,8,1,500
12,80,8,200,100
6.5,80,8,100,100
8,80,8,50,100
17,80,8,10,100
4.5,80,8,1,100
4,80,8,200,10
6.5,80,8,100,10
7.5,80,8,50,10
7,80,8,10,10
3.5,80,8,1,10
3,80,12,200,500
3,80,12,100,500
2,80,12,50,500
4,80,12,10,500
3,80,12,1,500
13.5,80,12,200,100
20,80,12,100,100
7,80,12,50,100
7,80,12,10,100
2.5,80,12,1,100
2.5,80,12,200,10
8.5,80,12,100,10
9.5,80,12,50,10
10,80,12,10,10
4.5,80,12,1,10
